ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE,ShortSale
145000,4,2,1964,7840,1957,57,1,Garage,8,N,N,44.982666,-93.028503,N
269900,4,1.75,1406,5227,1918,96,2,Garage,74,Y,Y,44.928577,-93.172623,N
194900,4,1.5,1408,4791,1912,102,0,No,119,Y,Y,44.946823,-93.172516,N
149900,3,0.75,1224,3920,1886,128,2,Garage,103,Y,N,44.966194,-93.172638,N
74900,3,1.5,1178,5227,1920,94,4,Garage,137,Y,Y,44.996681,-93.306061,N
139900,2,1,738,2613,1922,92,1,Garage,83,N,N,44.928806,-93.249084,N
169900,4,2,1385,4356,1900,114,1,Garage,50,Y,N,44.961342,-93.172729,N
1195000,5,3.25,6247,18295,1908,106,3,Garage,137,Y,N,44.942043,-93.172813,N
99900,3,1,1241,5662,1917,97,1,Garage,137,Y,N,,,N
129900,3,1,1408,7405,1941,73,2,Garage,30,Y,N,44.960636,-93.027626,N
1100000,4,1.5,1334,5662,1900,114,1,Garage,138,N,N,44.949028,-93.304314,N
299900,3,2,1644,4356,1898,116,2,Garage,10,N,Y,44.960831,-93.173164,N
259900,3,1.75,1692,5227,1919,95,2,Garage,76,N,N,44.928185,-93.173241,N
189900,4,2,2230,11761,1964,50,2,Garage,15,N,N,44.947262,-93.027611,N
99000,3,1,949,10018,1908,106,1,Garage,11,N,N,44.964676,-93.027138,N
132900,3,1.75,1528,,1965,49,1,Garage,52,Y,N,44.947891,-93.027344,N
159900,3,1.5,649,,1923,91,1,Garage,137,Y,Y,44.964283,-93.027061,N
145000,3,1.25,1580,6534,1908,106,0,No,6,N,N,44.901024,-93.173897,N
259900,4,1.75,2758,6534,1879,135,2,Garage,119,Y,N,44.931992,-93.09288,N
169900,3,1.5,1503,9147,1900,114,2,Garage,117,Y,Y,44.929302,-93.092972,N
157000,4,1.5,1702,9626,1907,107,2,Garage,119,Y,Y,44.948441,-93.026619,N
162990,4,1.75,2102,6098,1917,97,2,Garage,15,N,Y,44.960636,-93.026497,N
70000,2,1,1000,7405,1940,74,1,Garage,137,Y,Y,44.977821,-93.026115,Y
117500,3,1,1176,4791,1957,57,1,Garage,57,Y,N,44.96608,-93.02597,N
165000,3,1.75,1246,4791,1955,59,1,Garage,137,N,Y,44.959534,-93.175064,N
104500,2,1,702,6098,1909,105,1,Garage,111,Y,N,44.900501,-93.175255,N
125000,3,1,1240,5227,1948,66,1,Garage,77,Y,N,44.961704,-93.175385,N
69000,1,1,710,,1885,129,0,No,110,Y,N,44.949211,-93.06321,N
98850,2,1,730,4356,1922,92,1,Garage,20,N,Y,44.984989,-93.024475,N
199786,3,2,1403,3484,1983,31,2,Garage,75,Y,N,44.905117,-93.175972,N
140000,3,2,1650,7405,1917,97,2,Garage,26,N,Y,44.972363,-93.024307,N
169900,3,1.5,1829,,1950,64,2,Garage,137,Y,N,44.956337,-93.024239,N
28250,3,1,1597,6534,1914,100,3,No,137,Y,N,44.997574,-93.306061,Y
72900,3,1,1177,4791,1939,75,2,Garage,77,Y,N,44.965145,-93.0242,N
409900,3,2.25,2218,10454,1954,60,2,Garage,7,N,N,44.911331,-93.176208,N
750000,4,3.25,3460,4791,2003,11,2,Garage,113,N,N,44.897522,-93.183685,N
129500,3,1.75,1533,4791,1917,97,2,Garage,72,Y,N,44.997787,-93.306602,N
84900,2,1,940,6534,1926,88,1,Garage,33,Y,N,45.035744,-93.303688,Y
39353,1,1.5,972,3920,1915,99,3,Garage,77,Y,N,44.970081,-93.023712,Y
99900,2,1,1218,7405,1890,124,2,Garage,137,Y,N,44.964069,-93.092842,N
384900,4,2,2468,6098,1926,88,2,Garage,119,Y,N,44.936756,-93.177429,N
214900,3,1,1529,4791,1925,89,1,Garage,114,Y,N,44.927692,-93.177414,N
499900,4,2.25,2085,9583,1938,76,2,Garage,92,N,N,44.922318,-93.177513,N
129850,3,1,1123,4791,1940,74,0,No,22,N,Y,44.964638,-93.023117,N
129850,2,1.5,1527,4356,1914,100,3,Garage,49,N,Y,44.970554,-93.022949,N
149900,4,1.5,1192,5662,1952,62,1,Garage,4,N,Y,44.988602,-93.022896,N
329900,3,2.75,1859,5227,1922,92,2,Garage,5,N,Y,44.935455,-93.17794,N
145000,3,1.75,1628,4791,1961,53,2,Garage,57,N,N,44.978676,-93.022942,Y
129500,4,1.75,1422,4791,1930,84,1,Garage,137,Y,Y,44.966042,-93.022285,N
62000,2,1,728,4791,1921,93,2,Garage,41,Y,N,44.978676,-93.022255,N
76000,2,1,660,4791,1925,89,1,Garage,119,Y,N,44.977257,-93.022263,N
128000,3,1.75,1645,4791,1938,76,2,Garage,137,N,N,44.978676,-93.022102,Y
129000,2,1.75,1194,5227,1900,114,3,Garage,18,N,N,44.919338,-93.077362,N
146900,3,2,2020,5227,1930,84,1,Garage,137,Y,N,44.985382,-93.021698,N
239900,2,1,1324,5227,2004,10,2,Garage,137,N,N,44.910278,-93.150124,N
109900,2,1,1086,4791,1951,63,1,Garage,99,Y,N,44.963734,-93.021523,N
155900,3,1.5,1255,5227,1908,106,2,Garage,6,N,N,44.919842,-93.077484,N
199850,2,1,826,5227,1922,92,1,Garage,35,N,N,44.934566,-93.179398,N
1799000,5,4.25,5702,27442,1928,86,3,Garage,135,N,N,44.940956,-93.179634,N
449900,4,1.75,2514,6098,1927,87,1,Garage,77,Y,N,44.930931,-93.179855,N
165000,3,1.75,1529,4791,1967,47,2,Garage,11,N,N,44.956486,-93.020775,N
279000,3,1.5,1568,5662,1912,102,2,Garage,118,Y,N,44.898327,-93.180298,N
49900,2,1,832,,1905,109,1,Garage,137,Y,N,44.974049,-93.10051,Y
150000,3,2,1486,5227,1923,91,1,Garage,7,N,Y,45.005375,-93.304611,N
299800,4,1.75,1742,6098,1932,82,1,Garage,119,Y,N,44.89772,-93.181023,N
179500,3,1.25,1248,5619,1905,109,4,Garage,119,N,N,44.963142,-93.181023,N
294999,4,2,2176,5227,1895,119,1,Garage,135,Y,N,44.954483,-93.180229,N
309900,5,2.75,2480,7405,1949,65,1,Garage,119,Y,N,44.913208,-93.181435,N
359900,3,1.5,1806,5227,1935,79,2,Garage,137,Y,N,44.92952,-93.181282,N
112900,2,1,860,4791,1925,89,2,Garage,119,Y,N,44.920166,-93.077171,N
119900,3,1.5,1308,5227,1924,90,2,Garage,8,N,Y,44.999603,-93.31369,N
48000,2,1.25,933,,1921,93,2,Garage,6,N,N,44.983177,-93.018791,N
159900,4,2,1915,5662,1951,63,1,Garage,119,Y,Y,44.964302,-93.019272,N
429900,4,2,2460,9147,1954,60,3,Garage,13,N,N,44.915005,-93.182076,N
514000,3,3.25,3542,12196,1890,124,6,Garage,18,Y,N,44.951889,-93.182068,N
144900,3,1,1536,9147,1954,60,1,Garage,10,N,Y,44.977242,-93.01825,N
199000,4,3,1981,,1916,98,0,No,92,Y,N,44.935566,-93.143753,N
549900,4,3.5,2852,6098,2013,1,2,Garage,137,N,Y,44.915821,-93.18335,N
344900,4,1.75,1532,5227,1924,90,1,Garage,77,N,N,44.932762,-93.184196,N
