,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale,SquaredBEDS,cubedBEDS,quadraBEDS,SquaredBATHS,cubedBATHS,quadraBATHS,SquaredSQFT,cubedSQFT,quadraSQFT,SquaredLotSize,cubedLotSize,quadraLotSize,SquaredYearBuilt,cubedYearBuilt,quadraYearBuilt,SquaredAge,cubedAge,quadraAge,SquaredParkingSpots,cubedParkingSpots,quadraParkingSpots,SquaredDOM,cubedDOM,quadraDOM
74,1375000,5,4.25,4934,14810.0,1910,104,2,1,137,0,0,0,25,125,625,18.0625,76.765625,326.25390625,24344356,120115052504,592647669054736,219336100.0,3248367641000.0,4.810832476321e+16,3648100,6967871000,13308633610000,10816,1124864,116985856,4,8,16,18769,2571353,352275361
75,750000,5,3.5,3849,13503.0,1933,81,3,1,77,0,0,0,25,125,625,12.25,42.875,150.0625,14814801,57022169049,219478328669601,182331009.0,2462015614527.0,3.324459684295808e+16,3736489,7222633237,13961350047121,6561,531441,43046721,9,27,81,5929,456533,35153041
76,140000,3,1.5,1167,8712.0,1915,99,2,1,137,1,0,0,9,27,81,2.25,3.375,5.0625,1361889,1589324463,1854741648321,75898944.0,661231600128.0,5760649700315136.0,3667225,7022735875,13448539200625,9801,970299,96059601,4,8,16,18769,2571353,352275361
77,139900,2,1.0,1530,9147.0,1950,64,1,1,9,0,1,0,4,8,16,1.0,1.0,1.0,2340900,3581577000,5479812810000,83667609.0,765307619523.0,7000268795776881.0,3802500,7414875000,14459006250000,4096,262144,16777216,1,1,1,81,729,6561
78,90000,3,1.0,1308,5227.0,1880,134,4,1,57,1,0,1,9,27,81,1.0,1.0,1.0,1710864,2237810112,2927055626496,27321529.0,142809632083.0,746465946897841.0,3534400,6644672000,12491983360000,17956,2406104,322417936,16,64,256,3249,185193,10556001
80,169900,4,1.5,1744,4791.0,1890,124,0,0,50,0,0,0,16,64,256,2.25,3.375,5.0625,3041536,5304438784,9250941239296,22953681.0,109971085671.0,526871471449761.0,3572100,6751269000,12759898410000,15376,1906624,236421376,0,0,0,2500,125000,6250000
81,124000,3,2.5,1700,9147.0,1915,99,2,1,18,0,1,0,9,27,81,6.25,15.625,39.0625,2890000,4913000000,8352100000000,83667609.0,765307619523.0,7000268795776881.0,3667225,7022735875,13448539200625,9801,970299,96059601,4,8,16,324,5832,104976
82,159900,2,1.0,1120,4791.0,1940,74,1,1,137,1,0,0,4,8,16,1.0,1.0,1.0,1254400,1404928000,1573519360000,22953681.0,109971085671.0,526871471449761.0,3763600,7301384000,14164684960000,5476,405224,29986576,1,1,1,18769,2571353,352275361
83,299500,3,1.75,1395,4791.0,1927,87,2,1,2,0,0,0,9,27,81,3.0625,5.359375,9.37890625,1946025,2714704875,3787013300625,22953681.0,109971085671.0,526871471449761.0,3713329,7155584983,13788812262241,7569,658503,57289761,4,8,16,4,8,16
84,129850,3,1.0,1382,5227.0,1929,85,2,1,49,0,1,0,9,27,81,1.0,1.0,1.0,1909924,2639514968,3647809685776,27321529.0,142809632083.0,746465946897841.0,3721041,7177888089,13846146123681,7225,614125,52200625,4,8,16,2401,117649,5764801
86,199000,4,1.25,1887,125888.0,1885,129,2,1,96,0,0,0,16,64,256,1.5625,1.953125,2.44140625,3560769,6719171103,12679075871361,15847788544.0,1995046404227072.0,2.5115240173533764e+20,3553225,6697829125,12625407900625,16641,2146689,276922881,4,8,16,9216,884736,84934656
87,159900,3,1.0,1184,10454.0,1931,83,5,1,110,1,0,0,9,27,81,1.0,1.0,1.0,1401856,1659797504,1965200244736,109286116.0,1142477056664.0,1.1943455150365456e+16,3728761,7200237491,13903658595121,6889,571787,47458321,25,125,625,12100,1331000,146410000
88,134990,3,1.0,1774,5227.0,1921,93,4,1,103,1,1,0,9,27,81,1.0,1.0,1.0,3147076,5582912824,9904087349776,27321529.0,142809632083.0,746465946897841.0,3690241,7088952961,13617878638081,8649,804357,74805201,16,64,256,10609,1092727,112550881
89,99000,2,1.0,960,5532.0,1919,95,1,1,12,0,0,0,4,8,16,1.0,1.0,1.0,921600,884736000,849346560000,30603024.0,169295928768.0,936545077944576.0,3682561,7066834559,13561255518721,9025,857375,81450625,1,1,1,144,1728,20736
90,165000,4,1.5,1544,5227.0,1913,101,2,1,96,0,0,0,16,64,256,2.25,3.375,5.0625,2383936,3680797184,5683150852096,27321529.0,142809632083.0,746465946897841.0,3659569,7000755497,13392445265761,10201,1030301,104060401,4,8,16,9216,884736,84934656
91,84900,3,1.75,1381,3920.0,1891,123,3,1,99,1,1,0,9,27,81,3.0625,5.359375,9.37890625,1907161,2633789341,3637263079921,15366400.0,60236288000.0,236126248960000.0,3575881,6761990971,12786924926161,15129,1860867,228886641,9,27,81,9801,970299,96059601
92,153334,3,1.0,1120,5227.0,1916,98,2,1,72,1,1,0,9,27,81,1.0,1.0,1.0,1254400,1404928000,1573519360000,27321529.0,142809632083.0,746465946897841.0,3671056,7033743296,13476652155136,9604,941192,92236816,4,8,16,5184,373248,26873856
93,439000,4,2.5,3007,13068.0,1927,87,2,1,1,0,0,0,16,64,256,6.25,15.625,39.0625,9042049,27189441343,81758650118401,170772624.0,2231656650432.0,2.9163289107845376e+16,3713329,7155584983,13788812262241,7569,658503,57289761,4,8,16,1,1,1
94,414900,5,3.5,2922,4791.0,2004,10,2,1,12,0,0,0,25,125,625,12.25,42.875,150.0625,8538084,24948281448,72898878391056,22953681.0,109971085671.0,526871471449761.0,4016016,8048096064,16128384512256,100,1000,10000,4,8,16,144,1728,20736
95,124900,3,1.5,1140,6098.0,1947,67,4,1,137,0,0,0,9,27,81,2.25,3.375,5.0625,1299600,1481544000,1688960160000,37185604.0,226757813192.0,1382769144844816.0,3790809,7380705123,14370232874481,4489,300763,20151121,16,64,256,18769,2571353,352275361
96,559900,4,3.25,2762,4791.0,2014,0,4,1,11,0,1,0,16,64,256,10.5625,34.328125,111.56640625,7628644,21070314728,58196209278736,22953681.0,109971085671.0,526871471449761.0,4056196,8169178744,16452725990416,0,0,0,16,64,256,121,1331,14641
97,699900,5,3.75,4500,14810.0,1927,87,2,1,77,0,0,0,25,125,625,14.0625,52.734375,197.75390625,20250000,91125000000,410062500000000,219336100.0,3248367641000.0,4.810832476321e+16,3713329,7155584983,13788812262241,7569,658503,57289761,4,8,16,5929,456533,35153041
98,155900,4,1.5,1806,5227.0,1910,104,1,1,2,0,1,0,16,64,256,2.25,3.375,5.0625,3261636,5890514616,10638269396496,27321529.0,142809632083.0,746465946897841.0,3648100,6967871000,13308633610000,10816,1124864,116985856,1,1,1,4,8,16
99,520000,4,3.5,2907,4791.0,2013,1,2,1,57,0,1,0,16,64,256,12.25,42.875,150.0625,8450649,24566036643,71413468521201,22953681.0,109971085671.0,526871471449761.0,4052169,8157016197,16420073604561,1,1,1,4,8,16,3249,185193,10556001
